                  Time      g_error x      g_error y      g_error z      d_error x      d_error y      d_error z
252765050.000000000000000       1397.873      -1097.221       -406.508         -0.020          0.016          0.029
252765070.000000000000000        178.986       -140.753        -42.235         -0.031          0.029          0.044
252765080.000000000000000        193.257       -151.967        -45.289         -0.037          0.035          0.047
252765090.000000000000000        208.313       -163.808        -48.488         -0.028          0.020          0.037
252765100.000000000000000        223.671       -175.882        -51.721         -0.023          0.015          0.030
252765110.000000000000000        238.838       -187.807        -54.885         -0.034          0.023          0.032
252765130.000000000000000        180.620       -142.506        -26.981         -0.022          0.009          0.034
252765140.000000000000000        195.007       -153.849        -28.818         -0.020          0.013          0.035
252765150.000000000000000        210.159       -165.799        -30.724         -0.028          0.021          0.036
252765160.000000000000000        225.623       -178.002        -32.645         -0.031          0.021          0.035
252765170.000000000000000        240.914       -190.065        -34.519         -0.029          0.024          0.034
252765190.000000000000000      -1642.141       1288.610        357.399         -0.033          0.027          0.039
252765200.000000000000000      -1415.058       1109.868        318.967         -0.031          0.025          0.037
252765210.000000000000000      -1183.339        927.522        278.858         -0.027          0.020          0.036
252765220.000000000000000       -953.130        746.412        238.173         -0.019          0.014          0.034
252765230.000000000000000       -730.264        571.120        197.979         -0.024          0.018          0.035
252765250.000000000000000        181.427       -144.094          3.840         -0.019          0.010          0.038
252765260.000000000000000        195.836       -155.541          4.448         -0.023          0.016          0.034
252765270.000000000000000        211.020       -167.607          5.127         -0.025          0.017          0.037
252765280.000000000000000        226.521       -179.922          5.842         -0.013          0.013          0.035
252765290.000000000000000        241.826       -192.091          6.574         -0.017          0.014          0.034
252765310.000000000000000       1833.520      -1463.519        248.244         -0.022          0.015          0.040
252765320.000000000000000       1737.436      -1386.888        236.192         -0.026          0.017          0.038
252765330.000000000000000       1634.888      -1305.098        223.498         -0.021          0.015          0.037
252765340.000000000000000       1527.580      -1219.525        210.461         -0.040          0.028          0.036
252765350.000000000000000       1417.274      -1131.561        197.377         -0.024          0.021          0.039
252765370.000000000000000        179.015       -143.109         34.598         -0.003          0.012          0.040
252765380.000000000000000        193.199       -154.467         37.649         -0.006          0.007          0.038
252765390.000000000000000        208.134       -166.428         40.897         -0.013          0.009          0.038
252765400.000000000000000        223.387       -178.642         44.231          0.001         -0.004          0.032
252765410.000000000000000        238.438       -190.694         47.556         -0.007          0.004          0.031
252765430.000000000000000      -1649.459       1314.266       -205.336         -0.018          0.014          0.039
252765440.000000000000000      -1423.559       1133.907       -166.250         -0.020          0.017          0.041
252765450.000000000000000      -1192.858        949.752       -127.241         -0.013          0.013          0.038
252765460.000000000000000       -963.507        766.710        -89.301         -0.016          0.018          0.038
