                  Time      g_error x      g_error y      g_error z      d_error x      d_error y      d_error z
252790030.000000000000000          1.544          1.540          7.953         -0.009         -0.032          0.006
252790040.000000000000000         27.584         20.637         36.804         -0.010         -0.029          0.010
252790050.000000000000000         55.610         41.178         67.917          0.002         -0.023          0.019
252790060.000000000000000         84.698         62.498        100.281          0.013         -0.014          0.037
252790070.000000000000000        113.889         83.880        132.812          0.020         -0.018          0.046
252790090.000000000000000       1609.714       1177.095       1245.640          0.005         -0.023          0.027
252790100.000000000000000       1526.008       1115.579       1179.636          0.011         -0.022          0.036
252790110.000000000000000       1436.705       1050.018       1109.035          0.003         -0.019          0.028
252790120.000000000000000       1343.378        981.551       1034.983         -0.005         -0.019          0.020
252790130.000000000000000       1247.558        911.298        958.600         -0.006         -0.018          0.020
252790140.000000000000000          0.000          0.000          0.000          0.007         -0.021          0.032
252790150.000000000000000          2.411          2.153          7.606          0.009         -0.024          0.028
252790160.000000000000000         31.317         23.330         31.886          0.015         -0.026          0.036
252790170.000000000000000         62.403         46.121         58.061          0.005         -0.021          0.029
252790180.000000000000000         94.688         69.780         85.309          0.007         -0.014          0.038
252790190.000000000000000        127.093         93.516        112.700          0.004         -0.021          0.034
252790210.000000000000000       7219.637       5308.811       3598.315          0.009         -0.025          0.041
252790220.000000000000000      10889.903       7984.167       5657.362         -0.002         -0.028          0.013
252790230.000000000000000      14319.368      10483.835       7582.714          0.008         -0.024          0.030
252790240.000000000000000      17471.127      12780.939       9354.864          0.009         -0.024          0.029
252790250.000000000000000      20310.028      14849.874      10955.417          0.015         -0.021          0.034
252790270.000000000000000        173.431        125.968         85.575          0.000         -0.024          0.028
252790280.000000000000000        187.304        136.063         92.091          0.005         -0.022          0.027
252790290.000000000000000        201.930        146.710         98.933          0.008         -0.017          0.032
252790300.000000000000000        216.855        157.562        105.884          0.006         -0.026          0.033
252790310.000000000000000        231.616        168.304        112.732          0.005         -0.024          0.034
252790320.000000000000000          0.000          0.000          0.000          0.004         -0.023          0.030
252790330.000000000000000        177.806        128.803         71.012          0.009         -0.023          0.024
252790340.000000000000000        192.008        139.105         76.371          0.009         -0.025          0.032
252790350.000000000000000        206.975        149.970         81.980          0.002         -0.023          0.031
252790360.000000000000000        222.261        161.053         87.676          0.006         -0.024          0.030
252790370.000000000000000        237.368        172.012         93.284          0.001         -0.026          0.029
252790380.000000000000000          0.000          0.000          0.000          0.004         -0.027          0.031
252790390.000000000000000          4.000          3.193          6.489          0.001         -0.030          0.034
252790400.000000000000000         37.112         27.254         20.402         -0.007         -0.027          0.034
252790410.000000000000000         72.775         53.156         35.438          0.007         -0.022          0.034
252790420.000000000000000        109.806         80.068         51.107          0.019         -0.002          0.040
252790430.000000000000000        146.982        107.076         66.879          0.023          0.001          0.039
252790450.000000000000000        184.185        132.613         41.012         -0.000         -0.042          0.027
252790460.000000000000000        198.873        143.202         43.974          0.005         -0.032          0.031
252790470.000000000000000        214.348        154.359         47.062          0.004         -0.024          0.034
252790480.000000000000000        230.138        165.714         50.168          0.001         -0.044          0.019
252790490.000000000000000        245.754        176.963         53.236          0.002         -0.040          0.025
252790510.000000000000000       1900.377       1362.461        209.469          0.028          0.004          0.046
252790520.000000000000000       1801.020       1291.098        197.557          0.024          0.012          0.046
252790530.000000000000000       1694.981       1214.919        184.665          0.009         -0.020          0.033
252790540.000000000000000       1584.096       1135.286        170.951          0.005         -0.027          0.034
252790550.000000000000000       1470.140       1053.467        156.540          0.011         -0.014          0.035
252790570.000000000000000       1909.505       1364.075         52.223          0.004         -0.033          0.021
252790580.000000000000000       1809.600       1292.596         48.542         -0.002         -0.036          0.023
252790590.000000000000000       1702.995       1216.336         44.451          0.005         -0.026          0.033
252790600.000000000000000       1591.491       1136.574         39.919          0.009         -0.020          0.033
252790610.000000000000000       1476.872       1054.578         34.940          0.010         -0.021          0.029
252790630.000000000000000        187.667        133.780         -5.175          0.006         -0.034          0.028
252790640.000000000000000        202.578        144.409         -5.891          0.002         -0.033          0.032
252790650.000000000000000        218.299        155.609         -6.684          0.006         -0.029          0.028
252790660.000000000000000        234.337        167.035         -7.517          0.010         -0.024          0.027
252790670.000000000000000        250.182        178.319         -8.362          0.007         -0.026          0.030
252790750.000000000000000        185.782        131.558        -35.958          0.004         -0.030          0.035
252790760.000000000000000        200.514        141.976        -39.125         -0.000         -0.035          0.032
252790770.000000000000000        216.048        152.964        -42.489          0.008         -0.026          0.031
252790780.000000000000000        231.893        164.169        -45.947          0.019         -0.016          0.031
252790790.000000000000000        247.543        175.232        -49.390          0.018         -0.016          0.030
252790800.000000000000000          0.000          0.000          0.000          0.011         -0.023          0.031
252790810.000000000000000        183.567        129.579        -51.138         -0.002         -0.032          0.038
252790820.000000000000000        198.125        139.840        -55.506          0.011         -0.023          0.036
252790830.000000000000000        213.448        150.636        -60.142          0.011         -0.023          0.030
252790840.000000000000000        229.069        161.637        -64.890          0.006         -0.031          0.033
252790850.000000000000000        244.519        172.522        -69.612          0.012         -0.024          0.030
252790870.000000000000000        180.522        127.055        -66.100          0.003         -0.022          0.029
252790880.000000000000000        194.815        137.099        -71.651          0.006         -0.016          0.028
252790890.000000000000000        209.863        147.656        -77.524          0.003         -0.029          0.033
252790900.000000000000000        225.212        158.428        -83.548          0.005         -0.035          0.032
252790910.000000000000000        240.382        169.079        -89.528          0.009         -0.032          0.029
252790920.000000000000000          0.000          0.000          0.000          0.004         -0.031          0.033
252790930.000000000000000          6.509          4.458          2.439          0.004         -0.031          0.036
252790940.000000000000000         40.477         28.380         -9.334          0.003         -0.026          0.035
252790950.000000000000000         77.070         54.145        -21.959          0.007         -0.027          0.032
252790960.000000000000000        115.091         80.923        -35.028          0.014         -0.027          0.029
252790970.000000000000000        153.284        107.829        -48.113          0.016         -0.027          0.027
252790980.000000000000000          0.000          0.000          0.000         -0.000         -0.033          0.036
252790990.000000000000000        171.930        120.380        -95.042         -0.010         -0.043          0.038
252791000.000000000000000        185.502        129.858       -102.876         -0.015         -0.045          0.039
252791010.000000000000000        199.817        139.856       -111.169          0.005         -0.028          0.031
252791020.000000000000000        214.383        150.027       -119.641         -0.004         -0.032          0.037
252791030.000000000000000        228.779        160.071       -128.037         -0.008         -0.038          0.041
252791050.000000000000000        166.435        116.305       -108.908          0.003         -0.030          0.031
252791060.000000000000000        179.562        125.447       -117.838          0.006         -0.033          0.029
252791070.000000000000000        193.376        135.077       -127.270          0.002         -0.029          0.032
252791080.000000000000000        207.447        144.872       -136.922         -0.014         -0.045          0.030
252791090.000000000000000        221.379        154.573       -146.482          0.002         -0.034          0.029
252791110.000000000000000          6.866          4.499          0.814          0.003         -0.027          0.030
252791120.000000000000000         38.310         26.454        -19.031          0.008         -0.024          0.026
252791130.000000000000000         72.175         50.107        -40.342          0.002         -0.030          0.031
252791140.000000000000000        107.387         74.710        -62.448          0.013         -0.021          0.026
252791150.000000000000000        142.756         99.426        -84.608          0.012         -0.023          0.027
252791170.000000000000000          6.928          4.470          0.262          0.005         -0.029          0.035
252791180.000000000000000         37.231         25.588        -22.111          0.013         -0.025          0.030
252791190.000000000000000         69.867         48.343        -46.148          0.006         -0.027          0.033
252791200.000000000000000        103.790         72.004        -71.081          0.004         -0.026          0.029
252791210.000000000000000        137.856         95.774        -96.079         -0.021         -0.037          0.037
252791220.000000000000000          0.000          0.000          0.000          0.005         -0.027          0.036
252791280.000000000000000          0.000          0.000          0.000          0.002         -0.027          0.029
252791340.000000000000000          0.000          0.000          0.000          0.002         -0.025          0.033
252791350.000000000000000        127.687         89.411       -169.704         -0.020         -0.038          0.039
252791360.000000000000000        137.682         96.384       -183.413         -0.006         -0.022          0.030
252791370.000000000000000        148.189        103.697       -197.867          0.001         -0.025          0.033
252791380.000000000000000        158.885        111.146       -212.637          0.002         -0.027          0.029
252791390.000000000000000        169.438        118.505       -227.241         -0.003         -0.024          0.036
252791400.000000000000000          0.000          0.000          0.000          0.002         -0.024          0.032
252791410.000000000000000       4559.914       3130.773      -7902.046          0.008         -0.024          0.026
252791420.000000000000000       7042.742       4871.032     -11851.362          0.007         -0.026          0.024
252791430.000000000000000       9363.733       6497.815     -15541.121          0.002         -0.022          0.031
252791440.000000000000000      11498.945       7994.332     -18931.383          0.005         -0.016          0.030
252791450.000000000000000      13425.621       9344.634     -21984.007          0.007         -0.019          0.031
252791460.000000000000000          0.000          0.000          0.000          0.001         -0.025          0.031
252791530.000000000000000         96.699         69.239       -197.490          0.008         -0.020          0.015
252791540.000000000000000        104.185         74.572       -213.349          0.008         -0.017          0.014
252791550.000000000000000        112.045         80.167       -230.060          0.002         -0.022          0.029
252791560.000000000000000        120.041         85.862       -247.121         -0.006         -0.026          0.044
252791570.000000000000000        127.936         91.478       -264.005         -0.006         -0.032          0.051
252791590.000000000000000        830.463        603.754      -2110.620          0.010         -0.013          0.013
252791600.000000000000000        786.109        571.929      -2000.528          0.010         -0.023          0.023
252791610.000000000000000        738.670        537.848      -1883.117          0.002         -0.021          0.030
252791620.000000000000000        688.904        502.033      -1760.427         -0.001         -0.020          0.031
252791630.000000000000000        637.534        465.017      -1634.435         -0.007         -0.022          0.042
252791650.000000000000000         73.460         54.651       -211.610         -0.003         -0.025          0.038
252791660.000000000000000         79.084         58.815       -228.557         -0.002         -0.022          0.036
252791670.000000000000000         84.988         63.185       -246.431          0.002         -0.020          0.030
252791680.000000000000000         90.986         67.633       -264.666          0.001         -0.014          0.032
252791690.000000000000000         96.898         72.006       -282.701          0.002         -0.018          0.033
252791710.000000000000000          6.039          3.379         -4.454         -0.003         -0.016          0.033
252791720.000000000000000         20.337         13.870        -43.843          0.000         -0.019          0.036
252791730.000000000000000         35.772         25.204        -86.250          0.002         -0.018          0.025
252791740.000000000000000         51.837         37.012       -130.278          0.001         -0.012          0.018
252791750.000000000000000         68.003         48.894       -174.473          0.002         -0.011          0.022
252791760.000000000000000          0.000          0.000          0.000          0.002         -0.016          0.024
252791770.000000000000000          5.795          3.169         -4.908          0.001         -0.027          0.030
252791780.000000000000000         17.813         12.260        -45.397         -0.001         -0.023          0.034
252791790.000000000000000         30.800         22.086        -88.993          0.000         -0.016          0.022
252791800.000000000000000         44.324         32.320       -134.249          0.002         -0.012          0.025
252791810.000000000000000         57.938         42.619       -179.688          0.004         -0.015          0.031
252791830.000000000000000         35.796         31.829       -225.652         -0.004         -0.016          0.022
252791840.000000000000000         38.409         34.166       -243.650         -0.002         -0.017          0.025
252791850.000000000000000         41.137         36.616       -262.633          0.000         -0.014          0.017
252791860.000000000000000         43.898         39.096       -281.997          0.002         -0.016          0.015
252791870.000000000000000         46.601         41.533       -301.132         -0.001         -0.020          0.024
252791890.000000000000000          5.214          2.741         -5.744          0.000         -0.019          0.030
252791900.000000000000000         12.497          8.964        -47.894          0.001         -0.017          0.023
252791910.000000000000000         20.382         15.702        -93.271          0.002         -0.011          0.015
252791920.000000000000000         28.608         22.720       -140.364          0.002         -0.017          0.040
252791930.000000000000000         36.900         29.807       -187.686          0.000         -0.011          0.035
252791940.000000000000000          0.000          0.000          0.000          0.002         -0.013          0.018
252791950.000000000000000          4.887          2.517         -6.159          0.002         -0.010         -0.011
252791960.000000000000000          9.726          7.297        -48.854          0.003         -0.002         -0.021
252791970.000000000000000         14.979         12.463        -94.776          0.001         -0.010          0.013
252791980.000000000000000         20.475         17.868       -142.521          0.002         -0.009         -0.000
252791990.000000000000000         26.027         23.332       -190.461          0.002         -0.001         -0.003
252792010.000000000000000        -83.552         59.917      -2347.308          0.002         -0.013          0.009
252792020.000000000000000        -80.177         56.612      -2224.406          0.007         -0.019          0.011
252792030.000000000000000        -76.694         52.955      -2093.239          0.001         -0.008          0.018
252792040.000000000000000        -73.222         48.945      -1956.064          0.002         -0.002          0.005
252792050.000000000000000        -69.894         44.600      -1815.027          0.003         -0.007          0.014
252792070.000000000000000          4.157          2.030         -6.829         -0.001         -0.006         -0.005
252792080.000000000000000          4.020          3.911        -50.049          0.001         -0.011         -0.024
252792090.000000000000000          3.915          5.979        -96.520          0.001         -0.007          0.022
252792100.000000000000000          3.842          8.156       -144.851          0.000         -0.003          0.013
252792110.000000000000000          3.805         10.370       -193.368          0.002         -0.001          0.031
252792180.000000000000000          0.000          0.000          0.000          0.002         -0.006          0.020
252792190.000000000000000          3.350          1.517         -7.383          0.002         -0.010         -0.001
252792200.000000000000000         -1.818          0.573        -50.302         -0.001         -0.007          0.012
252792210.000000000000000         -7.333         -0.414        -96.541          0.002         -0.006          0.010
252792220.000000000000000        -13.029         -1.411       -144.597         -0.001         -0.006         -0.010
252792230.000000000000000        -18.714         -2.387       -192.863          0.000         -0.005         -0.020
252792250.000000000000000        302.525         78.800       2087.905          0.001         -0.001          0.022
252792260.000000000000000        251.202         63.261       1802.267          0.006         -0.002          0.018
252792270.000000000000000        199.590         47.793       1510.554          0.002         -0.005          0.019
252792280.000000000000000        149.040         32.791       1220.470          0.004         -0.008         -0.027
252792290.000000000000000        100.783         18.622        939.468         -0.002         -0.007          0.001
252792310.000000000000000          2.477          1.002         -7.768          0.005         -0.004          0.038
252792320.000000000000000         -7.675         -2.680        -49.693          0.003         -0.009          0.013
252792330.000000000000000        -18.561         -6.600        -94.807          0.002          0.000          0.031
252792340.000000000000000        -29.835        -10.660       -141.722         -0.001         -0.005          0.011
252792350.000000000000000        -41.120        -14.710       -188.854         -0.000         -0.007         -0.007
252792370.000000000000000        -83.063        -34.483       -212.797         -0.001         -0.006          0.032
252792380.000000000000000        -89.891        -37.403       -229.635          0.003         -0.013         -0.006
252792390.000000000000000        -97.117        -40.478       -247.304          0.001         -0.006          0.016
252792400.000000000000000       -104.503        -43.625       -265.324          0.006          0.003          0.031
252792410.000000000000000       -111.831        -46.761       -283.150          0.003         -0.002          0.023
252792430.000000000000000        -95.518        -40.935       -206.401         -0.004         -0.003          0.014
252792440.000000000000000       -103.334        -44.353       -222.670         -0.006         -0.003          0.015
252792450.000000000000000       -111.586        -47.968       -239.797          0.002         -0.002          0.019
252792460.000000000000000       -120.035        -51.669       -257.254         -0.000         -0.004          0.024
252792470.000000000000000       -128.402        -55.336       -274.496          0.001         -0.005          0.032
252792490.000000000000000       -107.592        -47.094       -199.043          0.002          0.000          0.030
252792500.000000000000000       -116.367        -51.001       -214.728         -0.003         -0.005          0.012
252792510.000000000000000       -125.631        -55.127       -231.230         -0.005         -0.009          0.003
252792520.000000000000000       -135.114        -59.315       -247.973         -0.017          0.020          0.071
252792530.000000000000000       -144.481        -63.517       -264.635         -0.005         -0.005          0.013
252792540.000000000000000          0.000          0.000          0.000         -0.004         -0.004          0.019
252792610.000000000000000          0.078         -0.287         -8.224         -0.011         -0.005          0.022
252792620.000000000000000        -21.761        -10.035        -44.345         -0.016         -0.003          0.008
252792630.000000000000000        -45.222        -20.513        -83.256         -0.006         -0.007          0.007
252792640.000000000000000        -69.567        -31.364       -123.701         -0.002         -0.001          0.009
252792650.000000000000000        -93.993        -42.248       -164.354          0.001          0.002          0.005
252792670.000000000000000         -0.419         -0.553         -8.250         -0.013         -0.026         -0.025
252792680.000000000000000        -24.359        -11.347        -42.675         -0.004         -0.024         -0.014
252792690.000000000000000        -50.111        -22.931        -79.766         -0.004         -0.007          0.010
252792700.000000000000000        -76.834        -34.964       -118.358         -0.008         -0.010          0.001
252792710.000000000000000       -103.641        -47.030       -157.125         -0.006         -0.010          0.015
252792730.000000000000000      -1570.377       -713.782      -1602.500         -0.019          0.013          0.061
252792740.000000000000000      -1488.863       -676.436      -1517.942          0.009          0.014          0.036
252792750.000000000000000      -1401.990       -636.701      -1427.579         -0.005         -0.006          0.009
252792760.000000000000000      -1311.242       -595.244      -1332.852         -0.007         -0.013          0.014
252792770.000000000000000      -1218.127       -552.748      -1235.259         -0.010         -0.007          0.006
252792790.000000000000000       1306.508        597.168       1551.511          0.004         -0.012          0.004
252792800.000000000000000       1119.359        512.000       1345.492          0.006         -0.011          0.012
252792810.000000000000000        928.905        425.313       1134.564         -0.002         -0.008          0.008
252792820.000000000000000        740.191        339.403        924.382         -0.009          0.000          0.018
252792830.000000000000000        557.967        256.414        720.257         -0.007         -0.002          0.019
252792850.000000000000000      -1751.075       -796.127      -1359.182         -0.002         -0.003          0.015
252792860.000000000000000      -1660.023       -754.450      -1287.251          0.002         -0.004          0.021
252792870.000000000000000      -1562.925       -710.060      -1210.369         -0.003         -0.008          0.009
252792880.000000000000000      -1461.465       -663.724      -1129.741          0.002         -0.007          0.012
252792890.000000000000000      -1357.344       -616.208      -1046.615         -0.024         -0.010          0.002
252792910.000000000000000         -2.359         -1.434         -7.755         -0.001         -0.007          0.022
252792920.000000000000000        -33.710        -15.726        -34.064         -0.002         -0.014          0.019
252792930.000000000000000        -67.442        -31.089        -62.445         -0.005         -0.009          0.007
252792940.000000000000000       -102.452        -47.049        -91.966         -0.004         -0.020         -0.006
252792950.000000000000000       -137.601        -63.055       -121.637         -0.010         -0.020         -0.006
252792970.000000000000000         -2.842         -1.632         -7.555         -0.004         -0.002          0.017
252792980.000000000000000        -35.733        -16.609        -31.517         -0.012         -0.010          0.006
252792990.000000000000000        -71.108        -32.715        -57.351         -0.005         -0.010          0.010
252793000.000000000000000       -107.835        -49.426        -84.226         -0.001         -0.003          0.016
252793010.000000000000000       -144.702        -66.206       -111.265          0.008         -0.002          0.013
252793030.000000000000000       -191.152        -86.271        -98.021         -0.023         -0.021         -0.001
252793040.000000000000000       -206.455        -93.201       -105.529         -0.022         -0.022          0.005
252793050.000000000000000       -222.573       -100.494       -113.411         -0.002         -0.010          0.012
252793060.000000000000000       -239.045       -107.950       -121.424          0.001         -0.009          0.022
252793070.000000000000000       -255.336       -115.324       -129.335          0.005         -0.010          0.018
252793080.000000000000000          0.000          0.000          0.000         -0.003         -0.010          0.012
252793090.000000000000000         -3.750         -2.004         -7.063         -0.001         -0.005          0.012
252793100.000000000000000        -39.277        -18.109        -25.998          0.005         -0.009          0.014
252793110.000000000000000        -77.527        -35.439        -46.443         -0.003         -0.012          0.011
252793120.000000000000000       -117.229        -53.427        -67.714          0.002         -0.009          0.019
252793130.000000000000000       -157.097        -71.490        -89.124         -0.001         -0.011          0.019
252793150.000000000000000       -201.591        -90.397        -69.271          0.008         -0.005          0.008
252793160.000000000000000       -217.711        -97.639        -74.487         -0.009         -0.012          0.005
252793170.000000000000000       -234.682       -105.264        -79.940         -0.003         -0.012          0.015
252793180.000000000000000       -252.006       -113.044        -85.497         -0.000         -0.011          0.005
252793190.000000000000000       -269.149       -120.741        -90.965         -0.008         -0.014         -0.002
252793200.000000000000000          0.000          0.000          0.000         -0.006         -0.013          0.011
252793210.000000000000000         -4.601         -2.329         -6.430         -0.009         -0.017          0.015
252793220.000000000000000        -42.150        -19.226        -20.012          0.011         -0.008          0.019
252793230.000000000000000        -82.607        -37.428        -34.698         -0.006         -0.013          0.013
252793240.000000000000000       -124.596        -56.329        -50.000          0.000         -0.016          0.008
252793250.000000000000000       -166.760        -75.308        -65.402          0.006         -0.016          0.011
252793270.000000000000000         -4.987         -2.462         -6.074          0.007         -0.009          0.018
252793280.000000000000000        -43.327        -19.642        -16.881          0.009         -0.006          0.023
252793290.000000000000000        -84.614        -38.146        -28.583         -0.004         -0.011          0.015
252793300.000000000000000       -127.492        -57.354        -40.777         -0.017         -0.006          0.016
252793310.000000000000000       -170.526        -76.645        -53.057         -0.005         -0.002          0.026
252793330.000000000000000         -5.364         -2.593         -5.697          0.000         -0.019          0.011
252793340.000000000000000        -44.312        -19.970        -13.692          0.001         -0.018          0.003
252793350.000000000000000        -86.246        -38.679        -22.333         -0.001         -0.014          0.019
252793360.000000000000000       -129.812        -58.118        -31.371         -0.016         -0.017          0.018
252793370.000000000000000       -173.527        -77.633        -40.477          0.006         -0.009          0.033
252793390.000000000000000       -211.852        -93.450         -8.608         -0.019         -0.022          0.003
252793400.000000000000000       -228.704       -100.883         -8.987         -0.021         -0.024          0.002
252793410.000000000000000       -246.440       -108.701         -9.330          0.000         -0.012          0.027
252793420.000000000000000       -264.568       -116.686         -9.680         -0.012         -0.012          0.024
252793430.000000000000000       -282.461       -124.571        -10.004          0.003         -0.004          0.020
252793440.000000000000000          0.000          0.000          0.000          0.005         -0.009          0.024
252793450.000000000000000         -6.041         -2.792         -4.850          0.009         -0.012          0.024
252793460.000000000000000        -45.692        -20.316         -7.098          0.004         -0.008          0.025
252793470.000000000000000        -88.382        -39.194         -9.575          0.001         -0.010          0.025
252793480.000000000000000       -132.716        -58.803        -12.195          0.007         -0.007          0.024
252793490.000000000000000       -177.246        -78.502        -14.867          0.011         -0.007          0.025
252793510.000000000000000       1937.420        855.742         49.280         -0.011         -0.010          0.023
252793520.000000000000000       1670.505        738.243         53.389         -0.026         -0.018          0.024
252793530.000000000000000       1398.106        618.291         56.695          0.002         -0.009          0.028
252793540.000000000000000       1127.407        499.051         59.149          0.022         -0.005          0.033
252793550.000000000000000        865.231        383.527         60.712          0.020         -0.016          0.028
252793570.000000000000000      -2127.405       -923.829        433.998         -0.012         -0.025          0.023
252793580.000000000000000      -2015.889       -875.374        412.215         -0.001         -0.010          0.026
252793590.000000000000000      -1896.861       -823.658        389.131          0.001         -0.010          0.027
252793600.000000000000000      -1772.316       -769.536        365.232          0.012         -0.008          0.034
252793610.000000000000000      -1644.245       -713.863        340.964          0.015         -0.006          0.033
252793630.000000000000000       -207.124        -89.803         52.703         -0.005         -0.022          0.022
252793640.000000000000000       -223.508        -96.892         57.193          0.013         -0.014          0.023
252793650.000000000000000       -240.791       -104.356         61.953          0.008         -0.005          0.024
252793660.000000000000000       -258.423       -111.973         66.838         -0.002         -0.002          0.026
252793670.000000000000000       -275.827       -119.502         71.687          0.007         -0.003          0.025
252793740.000000000000000          0.000          0.000          0.000          0.015         -0.000          0.023
252793810.000000000000000       -193.800        -83.124         96.481          0.007         -0.004          0.025
252793820.000000000000000       -209.091        -89.659        104.429          0.008         -0.002          0.025
252793830.000000000000000       -225.182        -96.538        112.831          0.020         -0.000          0.025
252793840.000000000000000       -241.596       -103.546        121.424          0.023          0.005          0.022
252793850.000000000000000       -257.821       -110.473        129.939          0.018          0.005          0.018
252793870.000000000000000         -7.587         -3.058         -1.324         -0.042         -0.040          0.031
252793880.000000000000000        -44.051        -18.682         16.165          0.044          0.006          0.026
252793890.000000000000000        -83.470        -35.580         34.948          0.002         -0.005          0.022
252793900.000000000000000       -124.338        -53.099         54.417          0.054          0.032          0.018
252793910.000000000000000       -165.484        -70.776         73.942          0.025          0.001          0.022
252793930.000000000000000       -180.481        -77.054        123.631          0.013          0.002          0.026
252793940.000000000000000       -194.693        -83.097        133.720          0.006         -0.003          0.029
252793950.000000000000000       -209.617        -89.447        144.373          0.035          0.002          0.028
252793960.000000000000000       -224.871        -95.923        155.253          0.022          0.001          0.017
252793970.000000000000000       -239.935       -102.317        166.035          0.011          0.001          0.014
252793990.000000000000000       1703.068        725.542      -1034.244          0.007         -0.010          0.034
252794000.000000000000000       1473.698        627.725       -882.470          0.005         -0.013          0.038
252794010.000000000000000       1239.169        527.713       -728.328          0.020          0.000          0.026
252794020.000000000000000       1005.691        428.147       -575.854          0.015          0.005          0.021
252794030.000000000000000        779.197        331.544       -428.864          0.008         -0.002          0.029
252794050.000000000000000       -163.850        -69.893        148.580          0.019         -0.005          0.029
252794060.000000000000000       -176.698        -75.341        160.620          0.023          0.001          0.024
252794070.000000000000000       -190.239        -81.083        173.342          0.005         -0.004          0.030
252794080.000000000000000       -204.049        -86.939        186.352         -0.024         -0.015          0.047
252794090.000000000000000       -217.648        -92.703        199.204         -0.014         -0.008          0.038
252794100.000000000000000          0.000          0.000          0.000          0.008         -0.003          0.030
252794110.000000000000000       -154.381        -65.954        160.096          0.018         -0.005          0.032
252794120.000000000000000       -166.459        -71.086        173.039          0.026         -0.003          0.029
252794130.000000000000000       -179.171        -76.483        186.702          0.030         -0.001          0.026
252794140.000000000000000       -192.101        -81.978        200.656          0.054          0.004          0.022
252794150.000000000000000       -204.917        -87.412        214.481          0.029         -0.001          0.032
252794220.000000000000000          0.000          0.000          0.000          0.019         -0.002          0.032
252794290.000000000000000       -121.851        -52.996        190.179          0.010         -0.001          0.031
252794300.000000000000000       -131.315        -57.089        205.468          0.007         -0.006          0.030
252794310.000000000000000       -141.249        -61.378        221.599          0.020          0.001          0.033
252794320.000000000000000       -151.393        -65.756        238.080          0.004         -0.003          0.045
252794330.000000000000000       -161.379        -70.065        254.356          0.011          0.003          0.028
252794350.000000000000000         -7.274         -2.459          2.980          0.013          0.001          0.021
252794360.000000000000000        -30.605        -12.526         38.240          0.014          0.000          0.022
252794370.000000000000000        -55.753        -23.389         76.181          0.029         -0.000          0.027
252794380.000000000000000        -81.936        -34.690        115.553          0.020          0.003          0.017
252794390.000000000000000       -108.302        -46.072        155.107         -0.027         -0.005          0.040
252794400.000000000000000          0.000          0.000          0.000          0.029          0.001          0.033
252794410.000000000000000        -97.181        -43.657        206.067          0.026          0.007          0.027
252794420.000000000000000       -104.651        -47.014        222.559          0.037         -0.013          0.000
252794430.000000000000000       -112.521        -50.508        240.015          0.025         -0.002          0.037
252794440.000000000000000       -120.508        -54.048        257.736          0.032          0.025         -0.025
252794450.000000000000000       -128.397        -57.587        275.384          0.025          0.004          0.035
252794470.000000000000000         -6.863         -2.212          3.985          0.023         -0.001          0.041
252794480.000000000000000        -25.587        -10.536         42.298          0.053         -0.006          0.044
252794490.000000000000000        -45.854        -19.512         83.513          0.025          0.001          0.031
252794500.000000000000000        -66.916        -28.865        126.313          0.024          0.000          0.025
252794510.000000000000000        -88.101        -38.280        169.273          0.027         -0.001          0.009
252794530.000000000000000         -6.609         -2.076          4.430          0.024          0.002          0.015
252794540.000000000000000        -22.938         -9.497         44.027          0.021          0.001          0.027
252794550.000000000000000        -40.559        -17.506         86.648          0.026          0.005          0.043
252794560.000000000000000        -58.910        -25.852        130.889          0.023          0.006          0.046
252794570.000000000000000        -77.372        -34.251        175.317          0.024          0.010          0.055
252794590.000000000000000         -6.327         -1.935          4.917          0.027          0.001          0.041
252794600.000000000000000        -20.146         -8.442         45.592          0.025          0.002          0.035
252794610.000000000000000        -35.071        -15.476         89.378          0.026          0.001          0.034
252794620.000000000000000        -50.614        -22.806        134.850          0.027         -0.002          0.037
252794630.000000000000000        -66.262        -30.184        180.506          0.028          0.000          0.036
252794650.000000000000000        621.970        295.135      -2005.608          0.028          0.003          0.059
252794660.000000000000000        546.268        257.493      -1726.190          0.029          0.009          0.090
252794670.000000000000000        468.184        218.801      -1441.324          0.026          0.002          0.035
252794680.000000000000000        389.833        180.112      -1158.439          0.026          0.001          0.019
252794690.000000000000000        313.226        142.407       -884.676          0.027         -0.002          0.038
252794710.000000000000000       -240.122       -177.019       2341.295          0.026         -0.001          0.042
252794720.000000000000000       -226.558       -167.782       2218.868          0.024         -0.001          0.047
252794730.000000000000000       -211.946       -157.797       2088.214          0.024          0.004          0.036
252794740.000000000000000       -196.452       -147.219       1951.618          0.024          0.003          0.060
252794750.000000000000000       -180.250       -136.183       1811.206          0.023          0.005          0.057
252794770.000000000000000        -13.777        -14.512        230.971          0.027          0.005          0.016
252794780.000000000000000        -14.599        -15.524        249.381          0.025          0.006          0.044
252794790.000000000000000        -15.435        -16.586        268.746          0.023          0.001          0.036
252794800.000000000000000        -16.263        -17.658        288.503          0.022         -0.003          0.029
252794810.000000000000000        -17.059        -18.703        308.033          0.020          0.001          0.021
252794830.000000000000000         -4.919         -1.309          6.476          0.028          0.002          0.024
252794840.000000000000000         -8.134         -4.155         49.716          0.021          0.001          0.041
252794850.000000000000000        -11.637         -7.243         96.241          0.023          0.001          0.026
252794860.000000000000000        -15.321        -10.468        144.583          0.023          0.005          0.027
252794870.000000000000000        -19.054        -13.734        193.128          0.026          0.003          0.021
