                  Time        error x        error y        error z       error 3d
 54467.000000000000000          0.000          0.000          0.000          0.000
 54467.000115740738693          0.794          0.776         -1.369          1.763
 54467.000231481484661          1.461          1.412         -2.485          3.210
 54467.000347222223354          2.030          1.915         -3.387          4.389
 54467.000462962962047          2.479          2.305         -4.070          5.294
 54467.000578703700739          2.843          2.596         -4.541          5.954
 54467.000694444446708          3.117          2.815         -4.925          6.473
 54467.000810185185401          3.315          2.950         -5.135          6.787
 54467.000925925924093          3.442          3.020         -5.238          6.957
 54467.001041666670062          3.504          3.037         -5.246          7.002
 54467.001157407408755          3.513          3.002         -5.189          6.949
 54467.001273148147448          3.488          2.933         -5.044          6.798
 54467.001388888886140          3.418          2.831         -4.850          6.574
 54467.001504629632109          3.304          2.703         -4.606          6.280
 54467.001620370370802          3.169          2.555         -4.328          5.942
 54467.001736111109494          3.010          2.385         -4.028          5.565
 54467.001851851848187          2.823          2.207         -3.725          5.169
 54467.001967592594156          2.621          2.026         -3.405          4.750
 54467.002083333332848          2.425          1.836         -3.067          4.320
 54467.002199074071541          2.215          1.644         -2.735          3.884
 54467.002314814817510          1.987          1.456         -2.426          3.457
 54467.002430555556202          1.768          1.275         -2.110          3.034
 54467.002546296294895          1.557          1.098         -1.790          2.614
 54467.002662037033588          1.336          0.923         -1.493          2.206
 54467.002777777779556          1.112          0.759         -1.234          1.827
 54467.002893518518249          0.903          0.605         -0.984          1.466
 54467.003009259256942          0.705          0.462         -0.751          1.129
 54467.003125000002910          0.509          0.330         -0.528          0.804
 54467.003240740741603          0.325          0.207         -0.336          0.511
 54467.003356481480296          0.155          0.096         -0.138          0.228
 54467.003472222218988          0.000          0.000          0.000          0.000
 54467.003587962964957         -0.150         -0.083          0.125          0.212
 54467.003703703703650         -0.274         -0.159          0.244          0.400
 54467.003819444442343         -0.400         -0.228          0.331          0.567
 54467.003935185188311         -0.518         -0.284          0.396          0.711
 54467.004050925927004         -0.609         -0.329          0.464          0.833
 54467.004166666665697         -0.669         -0.364          0.509          0.916
 54467.004282407404389         -0.726         -0.391          0.506          0.968
 54467.004398148150358         -0.777         -0.413          0.538          1.031
 54467.004513888889051         -0.814         -0.431          0.552          1.073
 54467.004629629627743         -0.835         -0.440          0.548          1.092
 54467.004745370373712         -0.852         -0.442          0.533          1.098
 54467.004861111112405         -0.848         -0.440          0.521          1.088
 54467.004976851851097         -0.833         -0.431          0.494          1.060
 54467.005092592589790         -0.818         -0.419          0.451          1.024
 54467.005208333335759         -0.799         -0.410          0.437          0.998
 54467.005324074074451         -0.769         -0.392          0.392          0.947
 54467.005439814813144         -0.724         -0.377          0.377          0.899
 54467.005555555551837         -0.675         -0.351          0.314          0.823
 54467.005671296297805         -0.620         -0.324          0.265          0.749
 54467.005787037036498         -0.565         -0.291          0.207          0.668
 54467.005902777775191         -0.517         -0.270          0.210          0.620
 54467.006018518521159         -0.463         -0.238          0.180          0.551
 54467.006134259259852         -0.397         -0.211          0.158          0.477
 54467.006249999998545         -0.338         -0.179          0.112          0.399
 54467.006365740737238         -0.269         -0.151          0.089          0.321
 54467.006481481483206         -0.219         -0.116          0.073          0.258
 54467.006597222221899         -0.162         -0.086          0.058          0.192
 54467.006712962960592         -0.100         -0.060          0.047          0.126
 54467.006828703706560         -0.049         -0.026         -0.013          0.057
 54467.006944444445253          0.000          0.000          0.000          0.000
 54467.007060185183946          0.041          0.031         -0.006          0.052
 54467.007175925922638          0.078          0.051          0.003          0.094
 54467.007291666668607          0.131          0.075         -0.018          0.152
 54467.007407407407300          0.192          0.098         -0.031          0.217
 54467.007523148145992          0.218          0.117         -0.046          0.252
 54467.007638888891961          0.229          0.134         -0.014          0.265
 54467.007754629630654          0.238          0.152         -0.024          0.283
 54467.007870370369346          0.257          0.160         -0.027          0.304
 54467.007986111108039          0.293          0.170         -0.002          0.339
 54467.008101851854008          0.309          0.185         -0.005          0.360
 54467.008217592592700          0.311          0.188          0.023          0.364
 54467.008333333331393          0.317          0.192          0.028          0.372
 54467.008449074077362          0.314          0.196          0.000          0.370
 54467.008564814816054          0.310          0.198          0.029          0.369
 54467.008680555554747          0.301          0.197          0.055          0.364
 54467.008796296293440          0.285          0.194          0.074          0.353
 54467.008912037039408          0.265          0.185          0.100          0.338
 54467.009027777778101          0.253          0.186          0.081          0.325
 54467.009143518516794          0.236          0.182          0.078          0.308
 54467.009259259255487          0.217          0.174          0.074          0.288
 54467.009375000001455          0.189          0.161          0.079          0.260
 54467.009490740740148          0.154          0.151          0.101          0.238
 54467.009606481478841          0.133          0.141          0.089          0.214
 54467.009722222224809          0.119          0.122          0.057          0.180
 54467.009837962963502          0.100          0.100          0.036          0.147
 54467.009953703702195          0.078          0.084          0.025          0.118
 54467.010069444440887          0.057          0.065          0.033          0.093
 54467.010185185186856          0.030          0.043         -0.000          0.052
 54467.010300925925549          0.021          0.023         -0.009          0.032
 54467.010416666664241          0.000          0.000          0.000          0.000
 54467.010532407410210         -0.008         -0.031          0.013          0.035
 54467.010648148148903         -0.026         -0.048         -0.042          0.069
 54467.010763888887595         -0.039         -0.068         -0.032          0.085
 54467.010879629626288         -0.052         -0.092         -0.039          0.113
 54467.010995370372257         -0.065         -0.116         -0.047          0.141
 54467.011111111110949         -0.068         -0.134         -0.057          0.161
 54467.011226851849642         -0.067         -0.155         -0.060          0.179
 54467.011342592595611         -0.076         -0.171         -0.065          0.198
 54467.011458333334303         -0.085         -0.187         -0.071          0.217
 54467.011574074072996         -0.078         -0.200         -0.107          0.240
 54467.011689814811689         -0.072         -0.218         -0.112          0.256
 54467.011805555557657         -0.091         -0.222         -0.080          0.253
 54467.011921296296350         -0.101         -0.233         -0.065          0.262
 54467.012037037035043         -0.093         -0.238         -0.080          0.268
 54467.012152777781012         -0.087         -0.236         -0.082          0.264
 54467.012268518519704         -0.070         -0.230         -0.115          0.266
 54467.012384259258397         -0.064         -0.224         -0.110          0.258
 54467.012499999997090         -0.072         -0.229         -0.070          0.250
 54467.012615740743058         -0.071         -0.218         -0.070          0.240
 54467.012731481481751         -0.064         -0.208         -0.051          0.224
 54467.012847222220444         -0.048         -0.196         -0.062          0.211
 54467.012962962959136         -0.035         -0.178         -0.096          0.205
 54467.013078703705105         -0.027         -0.160         -0.087          0.184
 54467.013194444443798         -0.024         -0.143         -0.052          0.154
 54467.013310185182490         -0.018         -0.127         -0.021          0.130
 54467.013425925928459         -0.010         -0.107         -0.020          0.109
 54467.013541666667152         -0.003         -0.078         -0.026          0.082
 54467.013657407405844         -0.002         -0.043         -0.023          0.049
 54467.013773148144537          0.009         -0.022         -0.029          0.037
 54467.013888888890506          0.000          0.000          0.000          0.000
 54467.014004629629198          0.001          0.019          0.015          0.024
 54467.014120370367891          0.005          0.045          0.009          0.046
 54467.014236111113860         -0.016          0.072          0.015          0.075
 54467.014351851852552         -0.034          0.092          0.037          0.105
 54467.014467592591245         -0.042          0.104          0.046          0.121
 54467.014583333329938         -0.033          0.127          0.018          0.133
 54467.014699074075907         -0.030          0.145         -0.011          0.148
 54467.014814814814599         -0.037          0.160         -0.016          0.165
 54467.014930555553292         -0.054          0.167          0.004          0.175
 54467.015046296299261         -0.065          0.169          0.003          0.181
 54467.015162037037953         -0.063          0.185         -0.020          0.196
 54467.015277777776646         -0.067          0.189         -0.017          0.202
 54467.015393518515339         -0.077          0.174          0.017          0.191
 54467.015509259261307         -0.078          0.188         -0.020          0.204
 54467.015625000000000         -0.081          0.199         -0.042          0.219
 54467.015740740738693         -0.087          0.193         -0.038          0.216
 54467.015856481484661         -0.084          0.196         -0.063          0.222
 54467.015972222223354         -0.081          0.181         -0.064          0.209
 54467.016087962962047         -0.078          0.172         -0.063          0.199
 54467.016203703700739         -0.073          0.156         -0.060          0.182
 54467.016319444446708         -0.073          0.153         -0.082          0.189
 54467.016435185185401         -0.060          0.135         -0.092          0.174
 54467.016550925924093         -0.053          0.121         -0.091          0.161
 54467.016666666670062         -0.046          0.101         -0.076          0.135
 54467.016782407408755         -0.046          0.084         -0.048          0.107
 54467.016898148147448         -0.037          0.070         -0.046          0.092
 54467.017013888886140         -0.022          0.053         -0.053          0.078
 54467.017129629632109         -0.009          0.035         -0.042          0.055
 54467.017245370370802          0.007          0.024         -0.050          0.056
 54467.017361111109494          0.000          0.000          0.000          0.000
 54467.017476851848187          0.004         -0.014          0.022          0.026
 54467.017592592594156          0.004         -0.024         -0.015          0.028
 54467.017708333332848          0.030         -0.041         -0.018          0.054
 54467.017824074071541          0.036         -0.038         -0.038          0.065
 54467.017939814817510          0.042         -0.065         -0.017          0.079
 54467.018055555556202          0.051         -0.071         -0.020          0.090
 54467.018171296294895          0.070         -0.081         -0.026          0.110
 54467.018287037033588          0.068         -0.079         -0.020          0.107
 54467.018402777779556          0.062         -0.079         -0.014          0.101
 54467.018518518518249          0.048         -0.066         -0.020          0.084
 54467.018634259256942          0.057         -0.077         -0.006          0.096
 54467.018750000002910          0.061         -0.077         -0.002          0.098
 54467.018865740741603          0.054         -0.077          0.005          0.094
 54467.018981481480296          0.042         -0.081          0.037          0.099
 54467.019097222218988          0.042         -0.067          0.018          0.081
 54467.019212962964957          0.015         -0.052          0.025          0.060
 54467.019328703703650          0.011         -0.054          0.022          0.060
 54467.019444444442343          0.002         -0.047          0.023          0.052
 54467.019560185188311         -0.004         -0.047          0.028          0.055
 54467.019675925927004         -0.019         -0.040          0.014          0.046
 54467.019791666665697         -0.024         -0.033          0.011          0.042
 54467.019907407404389         -0.053         -0.016          0.020          0.059
 54467.020023148150358         -0.049         -0.016          0.004          0.051
 54467.020138888889051         -0.034         -0.019         -0.006          0.039
 54467.020254629627743         -0.020         -0.023         -0.015          0.034
 54467.020370370373712         -0.020         -0.016         -0.016          0.031
 54467.020486111112405         -0.027         -0.005         -0.009          0.029
 54467.020601851851097         -0.018         -0.006         -0.005          0.019
 54467.020717592589790         -0.010         -0.002         -0.000          0.010
 54467.020833333335759          0.000          0.000          0.000          0.000
 54467.020949074074451          0.049         -0.028         -0.019          0.060
 54467.021064814813144          0.096         -0.046         -0.044          0.115
 54467.021180555551837          0.134         -0.060         -0.068          0.162
 54467.021296296297805          0.185         -0.085         -0.094          0.224
 54467.021412037036498          0.226         -0.099         -0.115          0.272
 54467.021527777775191          0.262         -0.121         -0.129          0.315
 54467.021643518521159          0.293         -0.139         -0.142          0.354
 54467.021759259259852          0.342         -0.163         -0.163          0.413
 54467.021874999998545          0.380         -0.184         -0.172          0.456
 54467.021990740737238          0.425         -0.209         -0.169          0.503
 54467.022106481483206          0.451         -0.222         -0.176          0.532
 54467.022222222221899          0.467         -0.234         -0.180          0.553
 54467.022337962960592          0.497         -0.251         -0.175          0.584
 54467.022453703706560          0.507         -0.255         -0.169          0.592
 54467.022569444445253          0.510         -0.264         -0.159          0.596
 54467.022685185183946          0.514         -0.272         -0.149          0.601
 54467.022800925922638          0.507         -0.270         -0.132          0.590
 54467.022916666668607          0.497         -0.258         -0.116          0.572
 54467.023032407407300          0.478         -0.247         -0.097          0.547
 54467.023148148145992          0.460         -0.239         -0.082          0.525
 54467.023263888891961          0.424         -0.224         -0.071          0.485
 54467.023379629630654          0.403         -0.212         -0.057          0.459
 54467.023495370369346          0.366         -0.196         -0.038          0.417
 54467.023611111108039          0.310         -0.164         -0.031          0.352
 54467.023726851854008          0.265         -0.139         -0.025          0.300
 54467.023842592592700          0.213         -0.110         -0.018          0.240
 54467.023958333331393          0.167         -0.090         -0.007          0.190
 54467.024074074077362          0.116         -0.067         -0.010          0.134
 54467.024189814816054          0.062         -0.035         -0.008          0.072
 54467.024305555554747          0.000          0.000          0.000          0.000
 54467.024421296293440          0.001         -0.020          0.060          0.063
 54467.024537037039408         -0.009         -0.025          0.110          0.113
 54467.024652777778101         -0.034         -0.022          0.149          0.154
 54467.024768518516794         -0.067         -0.018          0.194          0.206
 54467.024884259255487         -0.073         -0.022          0.239          0.251
 54467.025000000001455         -0.065         -0.040          0.285          0.295
 54467.025115740740148         -0.086         -0.038          0.318          0.331
 54467.025231481478841         -0.079         -0.049          0.368          0.379
 54467.025347222224809         -0.113         -0.044          0.383          0.402
 54467.025462962963502         -0.137         -0.046          0.411          0.436
 54467.025578703702195         -0.149         -0.042          0.432          0.459
 54467.025694444440887         -0.128         -0.052          0.464          0.484
 54467.025810185186856         -0.129         -0.057          0.478          0.498
 54467.025925925925549         -0.139         -0.052          0.484          0.506
 54467.026041666664241         -0.154         -0.047          0.483          0.510
 54467.026157407410210         -0.139         -0.055          0.495          0.517
 54467.026273148148903         -0.147         -0.048          0.483          0.508
 54467.026388888887595         -0.164         -0.035          0.449          0.480
 54467.026504629626288         -0.166         -0.026          0.419          0.452
 54467.026620370372257         -0.172         -0.013          0.387          0.424
 54467.026736111110949         -0.167         -0.014          0.365          0.402
 54467.026851851849642         -0.162         -0.009          0.335          0.373
 54467.026967592595611         -0.139         -0.010          0.295          0.327
 54467.027083333334303         -0.121         -0.008          0.257          0.284
 54467.027199074072996         -0.094         -0.011          0.225          0.244
 54467.027314814811689         -0.093         -0.000          0.181          0.203
 54467.027430555557657         -0.059         -0.007          0.138          0.150
 54467.027546296296350         -0.041         -0.010          0.094          0.103
 54467.027662037035043         -0.018         -0.006          0.051          0.055
 54467.027777777781012          0.000          0.000          0.000          0.000
 54467.027893518519704         -0.021          0.016         -0.012          0.029
 54467.028009259258397         -0.026          0.018         -0.018          0.037
 54467.028124999997090         -0.035          0.021         -0.030          0.051
 54467.028240740743058         -0.045          0.029         -0.052          0.075
 54467.028356481481751         -0.062          0.042         -0.066          0.100
 54467.028472222220444         -0.070          0.046         -0.072          0.110
 54467.028587962959136         -0.069          0.048         -0.078          0.115
 54467.028703703705105         -0.088          0.062         -0.101          0.147
 54467.028819444443798         -0.096          0.069         -0.113          0.164
 54467.028935185182490         -0.095          0.072         -0.117          0.167
 54467.029050925928459         -0.095          0.078         -0.136          0.183
 54467.029166666667152         -0.115          0.089         -0.159          0.215
 54467.029282407405844         -0.110          0.092         -0.169          0.221
 54467.029398148144537         -0.119          0.096         -0.184          0.239
 54467.029513888890506         -0.097          0.090         -0.193          0.234
 54467.029629629629198         -0.098          0.095         -0.207          0.247
 54467.029745370367891         -0.095          0.097         -0.208          0.248
 54467.029861111113860         -0.076          0.088         -0.209          0.239
 54467.029976851852552         -0.080          0.089         -0.214          0.245
 54467.030092592591245         -0.063          0.080         -0.202          0.226
 54467.030208333329938         -0.040          0.074         -0.191          0.209
 54467.030324074075907         -0.031          0.068         -0.181          0.196
 54467.030439814814599         -0.023          0.060         -0.165          0.177
 54467.030555555553292         -0.020          0.055         -0.155          0.165
 54467.030671296299261         -0.007          0.044         -0.132          0.139
 54467.030787037037953          0.006          0.032         -0.104          0.109
 54467.030902777776646          0.006          0.023         -0.077          0.080
 54467.031018518515339          0.003          0.017         -0.045          0.048
 54467.031134259261307         -0.001          0.007         -0.021          0.023
 54467.031250000000000          0.000          0.000          0.000          0.000
 54467.031365740738693         -0.033          0.004          0.046          0.057
 54467.031481481484661         -0.049          0.006          0.093          0.105
 54467.031597222223354         -0.079          0.006          0.148          0.167
 54467.031712962962047         -0.104          0.010          0.203          0.228
 54467.031828703700739         -0.137          0.017          0.242          0.279
 54467.031944444446708         -0.162          0.019          0.275          0.319
 54467.032060185185401         -0.193          0.025          0.309          0.365
 54467.032175925924093         -0.219          0.033          0.335          0.402
 54467.032291666670062         -0.247          0.039          0.363          0.441
 54467.032407407408755         -0.279          0.049          0.380          0.474
 54467.032523148147448         -0.299          0.052          0.404          0.505
 54467.032638888886140         -0.323          0.063          0.409          0.525
 54467.032754629632109         -0.338          0.069          0.395          0.524
 54467.032870370370802         -0.353          0.075          0.395          0.535
 54467.032986111109494         -0.365          0.081          0.396          0.545
 54467.033101851848187         -0.369          0.088          0.386          0.541
 54467.033217592594156         -0.373          0.090          0.366          0.530
 54467.033333333332848         -0.368          0.094          0.345          0.513
 54467.033449074071541         -0.357          0.093          0.323          0.490
 54467.033564814817510         -0.343          0.094          0.325          0.482
 54467.033680555556202         -0.322          0.091          0.273          0.432
 54467.033796296294895         -0.304          0.086          0.228          0.390
 54467.033912037033588         -0.276          0.082          0.194          0.347
 54467.034027777779556         -0.236          0.073          0.188          0.310
 54467.034143518518249         -0.192          0.057          0.163          0.258
 54467.034259259256942         -0.164          0.046          0.103          0.199
 54467.034375000002910         -0.121          0.041          0.095          0.159
 54467.034490740741603         -0.061          0.028          0.165          0.178
 54467.034606481480296         -0.029          0.014          0.130          0.134
 54467.034722222218988          0.000          0.000          0.000          0.000
 54467.034837962964957          0.009          0.012         -0.069          0.071
 54467.034953703703650          0.019          0.017         -0.120          0.123
 54467.035069444442343          0.024          0.023         -0.158          0.162
 54467.035185185188311          0.039          0.030         -0.187          0.193
 54467.035300925927004          0.048          0.031         -0.212          0.219
 54467.035416666665697          0.051          0.028         -0.297          0.302
 54467.035532407404389          0.064          0.027         -0.329          0.336
 54467.035648148150358          0.084          0.020         -0.355          0.365
 54467.035763888889051          0.097          0.013         -0.370          0.383
 54467.035879629627743          0.107          0.007         -0.416          0.430
 54467.035995370373712          0.135         -0.008         -0.399          0.421
 54467.036111111112405          0.139         -0.010         -0.424          0.447
 54467.036226851851097          0.162         -0.018         -0.414          0.445
 54467.036342592589790          0.166         -0.028         -0.407          0.440
 54467.036458333335759          0.173         -0.032         -0.411          0.447
 54467.036574074074451          0.182         -0.030         -0.381          0.423
 54467.036689814813144          0.184         -0.035         -0.370          0.414
 54467.036805555551837          0.185         -0.043         -0.353          0.401
 54467.036921296297805          0.189         -0.046         -0.321          0.375
 54467.037037037036498          0.185         -0.051         -0.293          0.351
 54467.037152777775191          0.177         -0.045         -0.258          0.316
 54467.037268518521159          0.169         -0.045         -0.188          0.257
 54467.037384259259852          0.150         -0.038         -0.175          0.234
 54467.037499999998545          0.133         -0.035         -0.153          0.206
 54467.037615740737238          0.114         -0.032         -0.129          0.175
 54467.037731481483206          0.096         -0.025         -0.089          0.134
 54467.037847222221899          0.069         -0.016         -0.066          0.097
 54467.037962962960592          0.046         -0.012         -0.043          0.064
 54467.038078703706560          0.023         -0.009         -0.009          0.027
 54467.038194444445253          0.000          0.000          0.000          0.000
 54467.038310185183946         -0.009          0.009         -0.006          0.014
 54467.038425925922638         -0.015          0.018         -0.055          0.060
 54467.038541666668607         -0.018          0.029         -0.096          0.102
 54467.038657407407300         -0.023          0.042         -0.112          0.122
 54467.038773148145992         -0.022          0.051         -0.145          0.155
 54467.038888888891961         -0.023          0.049         -0.191          0.198
 54467.039004629630654         -0.026          0.055         -0.244          0.252
 54467.039120370369346         -0.023          0.060         -0.255          0.263
 54467.039236111108039         -0.023          0.064         -0.307          0.315
 54467.039351851854008         -0.014          0.066         -0.335          0.342
 54467.039467592592700         -0.006          0.066         -0.370          0.376
 54467.039583333331393         -0.001          0.059         -0.380          0.385
 54467.039699074077362          0.012          0.053         -0.417          0.421
 54467.039814814816054          0.023          0.048         -0.451          0.454
 54467.039930555554747          0.023          0.044         -0.447          0.450
 54467.040046296293440          0.029          0.033         -0.448          0.450
 54467.040162037039408          0.043          0.027         -0.452          0.455
 54467.040277777778101          0.049          0.017         -0.439          0.442
 54467.040393518516794          0.050          0.005         -0.425          0.428
 54467.040509259255487          0.055         -0.002         -0.410          0.413
 54467.040625000001455          0.059         -0.005         -0.392          0.397
 54467.040740740740148          0.058         -0.009         -0.370          0.374
 54467.040856481478841          0.059         -0.015         -0.330          0.335
 54467.040972222224809          0.055         -0.019         -0.286          0.292
 54467.041087962963502          0.049         -0.020         -0.230          0.235
 54467.041203703702195          0.043         -0.020         -0.198          0.203
 54467.041319444440887          0.031         -0.014         -0.155          0.159
 54467.041435185186856          0.021         -0.016         -0.103          0.107
 54467.041550925925549          0.015         -0.010         -0.038          0.042
 54467.041666666664241          0.000          0.000          0.000          0.000
 54467.041782407410210          0.009         -0.031          0.043          0.053
 54467.041898148148903          0.019         -0.053          0.101          0.116
 54467.042013888887595          0.033         -0.082          0.151          0.175
 54467.042129629626288          0.036         -0.100          0.170          0.201
 54467.042245370372257          0.044         -0.118          0.248          0.279
 54467.042361111110949          0.048         -0.130          0.307          0.337
 54467.042476851849642          0.054         -0.142          0.347          0.379
 54467.042592592595611          0.055         -0.150          0.396          0.427
 54467.042708333334303          0.046         -0.149          0.444          0.470
 54467.042824074072996          0.040         -0.149          0.486          0.510
 54467.042939814811689          0.029         -0.138          0.517          0.536
 54467.043055555557657          0.024         -0.130          0.543          0.559
 54467.043171296296350          0.008         -0.121          0.561          0.574
 54467.043287037035043         -0.004         -0.107          0.573          0.582
 54467.043402777781012         -0.011         -0.093          0.591          0.598
 54467.043518518519704         -0.026         -0.068          0.586          0.590
 54467.043634259258397         -0.041         -0.053          0.562          0.566
 54467.043749999997090         -0.053         -0.037          0.556          0.560
 54467.043865740743058         -0.060         -0.025          0.544          0.548
 54467.043981481481751         -0.073         -0.009          0.503          0.509
 54467.044097222220444         -0.075          0.010          0.468          0.474
 54467.044212962959136         -0.076          0.025          0.435          0.443
 54467.044328703705105         -0.074          0.026          0.416          0.424
 54467.044444444443798         -0.077          0.035          0.326          0.337
 54467.044560185182490         -0.080          0.046          0.261          0.277
 54467.044675925928459         -0.065          0.036          0.215          0.228
 54467.044791666667152         -0.053          0.034          0.164          0.176
 54467.044907407405844         -0.036          0.028          0.118          0.127
 54467.045023148144537         -0.016          0.019          0.070          0.074
 54467.045138888890506          0.000          0.000          0.000          0.000
 54467.045254629629198          0.037         -0.030         -0.048          0.067
 54467.045370370367891          0.073         -0.053         -0.104          0.137
 54467.045486111113860          0.116         -0.087         -0.126          0.192
 54467.045601851852552          0.161         -0.127         -0.165          0.263
 54467.045717592591245          0.200         -0.156         -0.198          0.322
 54467.045833333329938          0.231         -0.177         -0.213          0.361
 54467.045949074075907          0.263         -0.202         -0.289          0.440
 54467.046064814814599          0.301         -0.236         -0.238          0.451
 54467.046180555553292          0.329         -0.260         -0.250          0.488
 54467.046296296299261          0.359         -0.290         -0.257          0.528
 54467.046412037037953          0.380         -0.306         -0.252          0.550
 54467.046527777776646          0.398         -0.329         -0.254          0.575
 54467.046643518515339          0.407         -0.342         -0.246          0.586
 54467.046759259261307          0.417         -0.354         -0.229          0.593
 54467.046875000000000          0.420         -0.354         -0.217          0.591
 54467.046990740738693          0.420         -0.355         -0.209          0.588
 54467.047106481484661          0.410         -0.350         -0.187          0.571
 54467.047222222223354          0.401         -0.342         -0.167          0.553
 54467.047337962962047          0.387         -0.334         -0.158          0.535
 54467.047453703700739          0.369         -0.317         -0.139          0.506
 54467.047569444446708          0.345         -0.302         -0.116          0.473
 54467.047685185185401          0.315         -0.277         -0.095          0.430
 54467.047800925924093          0.287         -0.255         -0.082          0.393
 54467.047916666670062          0.253         -0.221         -0.063          0.341
 54467.048032407408755          0.216         -0.194         -0.062          0.297
 54467.048148148147448          0.172         -0.154         -0.048          0.236
 54467.048263888886140          0.133         -0.116         -0.026          0.179
 54467.048379629632109          0.082         -0.077         -0.008          0.112
 54467.048495370370802          0.042         -0.042         -0.002          0.060
 54467.048611111109494          0.000          0.000          0.000          0.000
 54467.048726851848187         -0.031          0.002          0.065          0.072
 54467.048842592594156         -0.059          0.002          0.122          0.135
 54467.048958333332848         -0.089          0.004          0.169          0.191
 54467.049074074071541         -0.119          0.010          0.217          0.247
 54467.049189814817510         -0.152          0.020          0.275          0.315
 54467.049305555556202         -0.172          0.020          0.315          0.359
 54467.049421296294895         -0.207          0.039          0.362          0.419
 54467.049537037033588         -0.223          0.045          0.399          0.459
 54467.049652777779556         -0.244          0.049          0.432          0.499
 54467.049768518518249         -0.265          0.046          0.448          0.522
 54467.049884259256942         -0.279          0.063          0.477          0.556
 54467.050000000002910         -0.281          0.077          0.499          0.578
 54467.050115740741603         -0.292          0.091          0.510          0.595
 54467.050231481480296         -0.311          0.109          0.516          0.613
 54467.050347222218988         -0.291          0.106          0.508          0.595
 54467.050462962964957         -0.282          0.105          0.499          0.583
 54467.050578703703650         -0.280          0.122          0.495          0.582
 54467.050694444442343         -0.274          0.129          0.473          0.562
 54467.050810185188311         -0.271          0.151          0.466          0.560
 54467.050925925927004         -0.259          0.151          0.436          0.529
 54467.051041666665697         -0.223          0.122          0.387          0.463
 54467.051157407404389         -0.138          0.025          0.282          0.315
 54467.051273148150358         -0.140          0.044          0.269          0.307
 54467.051388888889051         -0.174          0.109          0.249          0.322
 54467.051504629627743         -0.107          0.035          0.216          0.243
 54467.051620370373712         -0.099          0.082          0.200          0.238
 54467.051736111112405         -0.041          0.014          0.106          0.115
 54467.051851851851097         -0.043          0.047          0.089          0.109
 54467.051967592589790         -0.013          0.029          0.046          0.055
 54467.052083333335759          0.000          0.000          0.000          0.000
 54467.052199074074451         -0.012          0.049         -0.003          0.051
 54467.052314814813144         -0.042          0.054         -0.007          0.068
 54467.052430555551837         -0.062          0.079         -0.001          0.100
 54467.052546296297805         -0.071          0.114          0.004          0.134
 54467.052662037036498         -0.086          0.116         -0.003          0.144
 54467.052777777775191         -0.113          0.138          0.000          0.178
 54467.052893518521159         -0.126          0.152         -0.003          0.198
 54467.053009259259852         -0.143          0.173         -0.001          0.225
 54467.053124999998545         -0.150          0.195          0.005          0.246
 54467.053240740737238         -0.156          0.209          0.009          0.261
 54467.053356481483206         -0.175          0.182          0.009          0.253
 54467.053472222221899         -0.193          0.213          0.010          0.288
 54467.053587962960592         -0.218          0.237          0.012          0.322
 54467.053703703706560         -0.237          0.240          0.018          0.338
 54467.053819444445253         -0.221          0.226          0.017          0.317
 54467.053935185183946         -0.218          0.227          0.014          0.315
 54467.054050925922638         -0.226          0.230          0.016          0.323
 54467.054166666668607         -0.233          0.225          0.020          0.324
 54467.054282407407300         -0.227          0.226          0.019          0.321
 54467.054398148145992         -0.266          0.249          0.047          0.367
 54467.054513888891961         -0.222          0.205          0.010          0.302
 54467.054629629630654         -0.198          0.168         -0.017          0.261
 54467.054745370369346         -0.178          0.152         -0.027          0.236
 54467.054861111108039         -0.171          0.152         -0.007          0.228
 54467.054976851854008         -0.158          0.125         -0.006          0.201
 54467.055092592592700         -0.132          0.103         -0.008          0.168
 54467.055208333331393         -0.102          0.086         -0.008          0.134
 54467.055324074077362         -0.052          0.044         -0.008          0.068
 54467.055439814816054         -0.023          0.014         -0.010          0.028
 54467.055555555554747          0.000          0.000          0.000          0.000
 54467.055671296293440         -0.014          0.019         -0.005          0.024
 54467.055787037039408         -0.007          0.017         -0.017          0.025
 54467.055902777778101          0.004          0.013         -0.024          0.028
 54467.056018518516794          0.000          0.004         -0.040          0.040
 54467.056134259255487          0.008          0.014         -0.047          0.049
 54467.056250000001455         -0.000          0.029         -0.035          0.045
 54467.056365740740148         -0.009          0.035         -0.038          0.052
 54467.056481481478841         -0.017          0.037         -0.039          0.057
 54467.056597222224809         -0.009          0.051         -0.037          0.064
 54467.056712962963502         -0.013          0.049         -0.038          0.064
 54467.056828703702195         -0.029          0.068         -0.034          0.082
 54467.056944444440887         -0.036          0.075         -0.033          0.090
 54467.057060185186856         -0.041          0.089         -0.033          0.104
 54467.057175925925549         -0.046          0.100         -0.029          0.113
 54467.057291666664241         -0.064          0.032         -0.035          0.079
 54467.057407407410210         -0.058          0.094         -0.027          0.114
 54467.057523148148903         -0.064          0.076         -0.038          0.106
 54467.057638888887595         -0.074          0.095         -0.027          0.124
 54467.057754629626288         -0.064          0.093         -0.030          0.117
 54467.057870370372257         -0.070          0.099         -0.029          0.125
 54467.057986111110949         -0.074          0.086         -0.032          0.117
 54467.058101851849642         -0.063          0.070         -0.015          0.096
 54467.058217592595611         -0.058          0.064         -0.021          0.089
 54467.058333333334303         -0.058          0.062         -0.016          0.087
 54467.058449074072996         -0.043          0.051         -0.031          0.073
